EMOTION,TRANSCRIPTION
neu," Hi, I need an ID."
neu," ahh Yeah, this is the wrong line.  I'm sorry.  You need to go back over to line two B.  That's where you should have started from."
neu," Well, I have no camera here.  I can't help you at all here, ma'am.  I have forms for something completely different.  You need to go to a different place."
neu," So could I maybe get the form from you, fill it out here- and maybe you could-"
ang, Isn't there anything you can do?  Just call over and ask them if I can go to the front of the line in the other line.
ang, Why not?
ang," Right, well, last time they told me, it was this line, and obviously, it's not true."
neu, What is it?
sad, um.
sad, I'm sorry.  It's just a lot ahh to explain. ahh I got a call--
sad," I got a call today,"
sad, I'm going to need to go overseas for a while.
ang, You got called up.
ang, I thought you said this wasn't going to happen for at least a year.
sad," I don't know ""sigh""."
sad, I know.  I know.
sad," I know.  Well, we'll have to figure all that out.  I mean, I think the Army's going to provide childcare and help us out with that. um."
ang, Where do you have to go?  Where are you going?
sad, Iraq.
sad, I think infantry.  I'm not sure.
ang, I don't understand why they would just do something like this?
ang, It doesn't make any sense.  It's stupid.  I told you you shouldn't go in the Army.
sad, I don't think there's anything we can do.
sad, I'll tell them I'm sick and that you can't leave something.
sad, It's not fair.
sad, I know.  I know it's not fair.
sad, Why has to be you?  There's all those other people.  Somebody else can go instead.  It's not right.
sad," Well, apparently nobody else can go."
sad, I understand.  I'm worried about you.  I don't know what's going to happen to you.
sad, I know.
sad, I know.
sad, I jus-
sad, We'll figure something out.  We just have to ... we just have to think about this.  Could any of your family help us?
sad, I don't know.
sad, Yeah.  I guess.  I don't know what they're going to say.
sad," Yeah, we'll call them.  We'll figure something out.  I'm sorry, I'm sorry, I'm sorry.  You're right."
sad, I'm going to miss their first words.
sad, I know.
sad, You'll have to send me pictures and letters everyday.
sad," All the time, every day, every day.  They have e-mail over there and stuff like that, right? I can send you pictures."
sad," Yeah, as much as I can."
sad," ""sigh"" Three weeks."
sad, Yeah.
sad, Yeah.
sad, I love you.
sad," I love you.  I'm going to miss you so much. ""sigh"""
hap," Okay, so big news."
hap, What?
hap," Come on, what?"
hap, I'm getting married.
hap, Yeah.
hap, No way.
hap, Yeah.
hap, Uh-huh.
hap," No way, when? when,when, When did it happen?"
hap, Just a couple days ago.
hap, Oh my gosh.
hap, And you actually said yes.  I can't believe it.  I never thought you would get married.
hap, I know me neither.
hap, Oh my gosh.
hap," Right, I thought I would be way older too. I thought I would be I be at least thirty something."
hap, Oh absolutely.
hap," Well, we always said we'd be in our thirtieth when we got married. And we were going to get married to each other if we didn't by then"
hap, Yeah.
hap," Thirty nine, yeah.  I can't believe it.  So you broke our pact. Thanks a lot."
hap, Sorry.
hap," Thanks a lot.  Well, okay, you've got to tell me the details.  What did he say?  Where was it?  What happened?"
