EMOTION,TRANSCRIPTION
neu," Oh, um-"
neu, What's wrong?
neu," You didn't fill this out right. All right. It says that you have to fill out the back sheet of this, but you filled out the yellow sheet of it."
neu, Who?
neu, She- she probably doesn't even work here.
neu, All right  Uh-
neu," How's it going, babe?"
neu, Yeah?
neu, All right.
hap, She's doing fine. She just took her first steps today actually. I videotaped it for you so you can watch it.
hap, oh.
hap, Well umm- actually they--I was promoted.
sad, And Uh- Yeah. Uh- They're going to need um- more nurses on call for uh- to go overseas to help out with the war.
sad, yeah.
sad, It's going- It's going to be probably in about three weeks.
sad, yeah
ang," I can't- No, I can't do this alone."
sad," Yeah, and uh--"
sad," Honey, I'm going to come back. It's not like that."
sad, But it- it is for a year.
sad," Babe, I'm sorry. But I don't want to do."
sad," You know as much as -as much as me that I-I want to stay here with you and Amy so bad, but I can't."
sad, I have to work.
sad," Babe, I love you."
sad, You can't leave your daughter alone like this.
sad," But she has you. I mean, that's what you're there for. You're my right-hand man."
sad, It's going to be okay.
sad, You can't postpone it?
sad," No, I have to go."
sad," Wait, you can write me and as you know, send me pictures."
sad, I don't know if I can handle you going another year.
sad, What do you mean?
sad, I don't know if I- if I could take it.
sad," Look, I need you to be strong for me. 'Cause I can't be the only one that's strong right now, really, I--"
sad, I can't be that strong. A whole year.
sad," me, oh my god."
sad," and if we survive, if we survive that then babe, you know you know we could survive any--"
sad, I will come back.
sad, It doesn't look very good.
sad, we'll have all the money that we ever needed.
sad, And- And then I'll stop working and- I'll stay home with the baby.
sad, I don't want the money. I want-you here
ang, If your life is going to be in danger and this family is going to be in danger we don't need the job. We'll find the money.
sad, It's all I ever knew how to do. I can't quit now.
sad, How are we supposed to tell Amy? How's she supposed to understand that?
sad," Well, we- we tell her mommy's going on va- on a trip for for- a while."
sad," How is she going to feel the first year in school, no mom."
sad, Don't do that to me.
sad," It's hard enough already, Brian, I can't."
sad, I know.
sad," I didn't expect this to happen. I never planned for this. Some things you just don't plan for, you know."
sad," I'm sorry, babe."
sad, I'm so sorry.
sad," All right, then."
hap," Oh, my God, look at that. Huh-oh, how many carats is that?"
hap, Like eighteen? [LAUGHTER]
hap," Oh, Jesus."
hap, yeah [LAUGHTER]
hap," Yeah, The Lousy Chaperone. [LAUGHTER] Uh huh."
hap, [LAUGHTER] Uh- Drowsy.
hap," at the end of the performance, you know, like we're all clapping and stuff. And all of a sudden I look over and"
hap," Joe's gone. -where did he go, you know?"
hap," And I'm like oh, he went to the- -the bathroom, but he didn't tell me, I didn't even notice him leaving. And all of a sudden, I swear to God, I'm sitting there and-"
hap, he comes up onstage-- And the entire cast everyone just like
hap, goes up there and everyone's clapping and he's standing there and they put a spotlight on him.
hap," Oh, my God."
hap," And I'm like freaking out. I'm like what the hell's going on, you know. I don't know what's going on. And so he's like standing there and then all of a sudden they give him a microphone-"
hap," he asked me to marry him, like- onstage. I was like, I couldn't believe--and I had to walk up there and I was, like I think I tripped or something."
hap," Yeah, I said yes, but I, yeah, I mean,"
hap," I don't know- it just like took me, took me by surprise."
hap, He scored points.
hap," Oh, yeah. Everyone--yeah. And people--friends of ours were in the audience, I didn't know about, like family members."
hap, Yeah. It was great.
hap," It was--I cried,"
hap," No, you deserve to cry. I mean, tears of happiness."
hap," like a loser, I cried."
hap," But, I don't know, I--it's so weird to think I'm marrying somebody 'cause I feel so young, you know?"
hap, No. No plans. or any- and probably
hap," like I think I want to get married--I want to have two weddings. One here, then one in Europe."
hap, That's awesome. [LAUGHTER] Marriage.
hap, Yeah. I'm so excited. [LAUGHTER].
neu," Hey, you just got to keep on going."
neu," No, don't think like that."
sad," I just, I see all these other people getting commercials and work and it's like I'm not getting anything."
neu, Russel Crowe wasn't forty until he got his big stuff.
neu," If you really want to do it-I mean,"
neu, you got to do.
neu, You could. You could. We just--
neu, we're just pooling our funds together.
neu, You don't owe me anything.
neu," You are, you're going to class, you're learning, you're getting better. When you finally get that role you're going to be prepared."
neu," Oh my God, Anna, you're still young. Don't even think about that."
neu," You're only twenty five, okay? Some people don't start until they're thirty five."
neu, Yeah.
neu, What would you do- What would you do if you didn't? You can go to law school.
neu, See? So you can't just quit now.
neu, Have you been going to auditions and stuff?
neu, How's the job? Still waiting tables at Denny's?
neu," Well, they tip well."
sad, it's not funny. I just don't know what I'm going to do.
neu, Maybe you could start teaching. I don't know.
sad," Yeah, I guess I could."
neu," Go back to school. You know? Another three more years, get your master's."
sad, Yeah
neu," Close to thirty. Oof, it's going to be tough."
ang," Where? I don't know. The lost and found. What do you mean, lost and found?"
neu," Oh, not--we didn't lose it; maybe the airport lost it. Maybe someone stole it."
ang," Wait, sir. You're- You're completely not--what do you mean, stole it? How can they just steal it from an airplane? It was up in the air?"
ang," What do you mean, if it shows up? No, I need it now. I have my keys, I have my wallet, I have my money. I have thousands and thousands of dollars worth of stuff in there."
ang, Not to mention I have my work in there.
ang," And what if- what if it is lost? Well, what are you guys going to do for me?"
neu, and when you sign your ticket we could replace about fifteen percent of what's in the bag.
ang, Fifteen percent?
neu, Up to a limit of twenty five dollars.
ang, What? There- There's hundreds of thousands of dollars worth of stuff in there.
neu," I think that's kind of stupid, that you put a hundred thousands of dollars in the bag."
ang," No, they said I couldn't lock it."
ang, Give me--I'm going to talk to your supervisor. Give me your supervisor. I want to talk to your supervisor right now.
neu," Okay, let me get him.Oh, guess who the supervisor is? It's me."
neu," What, do you have questions?"
ang," Well, get- I want the C.E.O. then."
neu, How you doing?
sad, Okay.
sad, Yeah. Wow.
neu, We're all going to miss him.
sad," Mmm hmm. I never knew it was going to be this hard, you know."
sad, It's weird 'cause it's like you expected it to happen and eventually-
sad," he had cancer, you know?"
sad," They thought he got--would get better and he did, and then it just- things turned bad."
sad," Turned around for the worst, you know."
sad," I didn't know him, Tricia, but uh- I heard that he was a great man."
sad, He was amazing.
sad, I loved that boy.
sad," We did everything together, you know."
sad," It's weird, I think. I feel so alone, you know? What am I going to do now? Now that he's gone."
sad, He's so young. It seems so--
sad, so wrong in so many ways.
sad," His poor parents. You know, it's their only son."
neu, yeah.
sad," Kind of a whole year. I mean, he suffered with this, this monster, this thing, this disease."
sad," He was in chemo the whole time, right?"
sad, And he just got that baseball scholarship.
sad," I know. He was, he had so much going for him."
sad," So handsome, so young, so gifted."
sad, So talented.
sad," Such a sweet person, you know?"
sad, How's his parents doing?
sad, Not very good.
sad," Can you imagine, though, you know, as a parent, just losing a kid? Twenty-two years old."
sad," It's weird, I kind of feel like part of me is gone now, you know?"
sad, Because this other half was just kind of like ripped away.
sad," You guys were pretty close, weren't you?"
sad," He was like, he was like my brother, you know."
sad, He was my brother.
sad," Just seems so unfair, is the way it is."
sad," You know, he had that really pretty girlfriend for like about a year and-"
sad, What was her name?
sad, Kelly. Kelly Uveny.
sad, They talked about getting married and--
sad, Trying to have a baby.
sad," Yeah. But then when he got cancer and it got bad, you know, she just took off and-"
sad, so I was there for him.
sad, Some people.
sad," Yeah, but you were there all the hospital days. By his bed-"
sad," Yeah. God, I loved that kid."
sad," So nice, so positive."
sad, yeah.
sad, We need more people like him.
sad," Joe, do you think he knew I loved him?"
sad, I don't know.
sad," I never told him, I love you, but-"
sad, I loved him so much.
sad, I don't know if Benny was smart like that- but-
sad, I'm sure he loved you too. He just didn't know it.
neu," Hey, Isabella."
neu, I'm all right.
hap," Uh-, So I got some good news."
neu, You're not pregnant or anything.
neu," I know you've been trying to have a baby, right?"
hap, I have some better news than that.
hap," Yes, What would you want more than anything in this world?"
hap, Which one?
hap," I got--U.S.C.. I got- Yeah, I got the acceptance letter."
hap," Yes, me, I got in. Thank you very much."
hap, Good for you.
hap," Yeah, I know, my mom called me. I was with my girlfriend in Boston, and uh- she got the letter and she called me, she said I don't know, do you want me to open it? And I was like yes, open it. And she opened it and she goes oh, I'm sorry, Nat."
hap," And my mom was like Natalie, Natalie, it's [GARBAGE], you know-"
neu, oh yeah.
