EMOTION,TRANSCRIPTION
neu," Hi. Excuse me.  Um, I'd like to put in this application for my registration."
neu, Hi.
neu," Okay.  Let me see here.  Um, we need--we need your original birth certificate."
neu, Right.  Well.  We still need it.
neu, um Sorry.
ang," Ok, but you're right now you're holding up more people in line by standing here-- and letting"
ang," Well, why didn't the D.M.V. put that you needed your birth certificate on the application then?"
ang," You know, Official documentation--"
ang," Yeah, but your birth certificate--I mean, who carries around their birth certificate?  Nobody does that."
ang, With your driver's license and your passport.  Just like everybody else.
ang," Who--you always use your driver's license.  I mean, you're not coming to the D.M.V. if you're not over sixteen and that's when you get your driver's license so you're never gonna need it anyway."
sad, It's almost time for me to go.
sad," There's nothing I can do.  I mean, the government you know--"
sad," You're gonna have to.  I mean, you're a great father.  You can do it.  I know you can."
sad, I don't think so.
sad," Well, we can do the best we can and-and, with um, you know like wireless internet these days--I think that we could-- Talk every once in awhile."
sad, You could send me pictures.
sad," Their not gonna let you.  You have to stay home and I have to go.  I mean, that's all--"
sad," and--I mean, my daughter--I don't want to put her in danger.  You know?  She has to stay."
sad," I know, but, she needs to be safe more.  She needs to be around kids her age--own age.  She needs to be able to play on the streets and--"
sad, But she's--you're not gonna--you're not gonna be here for--for her first words.  For her first steps.  I mean--it's something that you're supposed to be here for that--
sad, You can just remember it for me.
sad," Well, I need--I need you to be able to do this for me 'cause I can't do anything about it."
sad," I mean, it's just as hard for me, but--I know that we can do it, you know"
sad, I don't want you in danger.  And I don't want her in danger.
sad, I have no choice. There's nothing I can do.
sad, All right.
hap," Oh my God.  Guess what, guess what, guess what, guess what, guess what, guess what?"
hap," Well, guess.  Guess, guess, guess, guess."
neu," Um, you--"
hap, That is great.  You look radiant.  I should've guess.
hap, I'm so excited.
hap," Well, Tell me about him.  What happened."
hap," like all they have And I was like, what's going on?  And he like takes my hand and pulls me into the middle and he's like--you know, get's on his knee and everything--And says will you marry me? And I flipped out."
hap, 'Cause- 'Cause he was with me. You didn't do it did you?
hap," Yeah.  I mean candles wouldn't stay--No, I didn't--I didn't know anything about it."
hap, You didn't know anything?
hap, No. I'm just as happy as you are.  This is--
hap," I was just--it was so like I thought this might happen eventually, but like not yet, you know what I mean?  Like--"
hap," So, I mean--it's good though."
hap," It is good.  It's totally good.  I mean, it like oh, you know."
hap," Yeah, I know.  Wow.  I'm shaking.  I can't even--"
hap, I know. So we're gonna take it--Like we're not gonna get married right away--'Cause we want to like have plenty of time to plan everything out
hap," ...and, um, my parents want to like be part of it and help out and everything--So we want to give it lots of time to like--"
neu," Oh. Do they--do they know yet? Have you told them? Oh, that's--"
hap," Yeah, yeah, I called them. I called them And, of course, they were so excited 'cause they love him. Like they always have.  Um--"
neu, That's great.  Yeah.
hap," So, yeah, I mean, it'll be good.  We wanna like, uh, I think we're gonna have it in spring time, like early Spring--So it's no too hot yet.  And um--"
neu, Okay. You know--you know where?  Or--
hap," I don't know.  I mean, I kinda like the idea of having something outside, but--Like--is a- Yeah,"
neu," Uh, huh. I mean, you know, it's spring--It'll be--"
neu, Spring's nice though.
hap," Yeah, I don't know-[LAUGHTER]-I mean--I can't even--the whole idea of like living--spending my whole life with somebody--that's crazy"
neu," Yeah, that is--how long you guys been together now?"
hap, Okay.  All right.  So-[LAUGHTER]-quite a while.  I mean--That's-  That's good.  I'm so happy for you. [LAUGHTER]
hap, Thank you. Thank you so much.
hap," Yeah, I'd love to be in that same situation some day, but, wow- so-"
hap," Oh, you will--You'll find just the right girl.  And she'll be perfect for you and everything will be great."
hap," Oh, I approve. I-[LAUGHTER]-I more than approve."
hap," I mean, I'm surprised he didn't, ya know--go get a plane to fly over and shine--But candles on the beach, that's okay too I guess--"
hap," Yeah, it's pretty good."
hap," Well--can--I mean, let me know--I want- I want invitations and--"
hap," Of course, of course--you'll be able to be a part of it.  You can come help me pick my colors."
hap," Oh, yes.  This is the whole [GARBAGE]"
hap," It's so girly.  I don't even know how to like--It's so weird, but it'll be fun.  My mom will love to be like--she'll get so into it, I'm sure."
hap, She'll be like--flowers and the--
hap," It'll be good.  Wow, that's great."
hap," Oh, thank you. [LAUGHTER]"
neu," So, uh, so how's it been going?  I mean, you have any needs or anything?"
neu," No.  You can't think that way.  I mean it's good--it's good that you're--that you're calling, you know. you can't"
neu," No, come on.  Don't [GARBAGE]"
neu," I know.  I know. It's hard, but you just--you gotta keep going.  I mean, you've been going at it for so long, you know.  Something is definitely going to come up.  I-I know it will, because you're a good worker--"
neu," No.  It's--I mean, it's competitive, you know.  That's-That's what it is.  that's what you gotta be is competitive."
neu," There...There are plenty of people out there with--with like, good jobs, you know, that are a lot..."
neu, ...dumber than you.  I mean they're a lot worse off than you.  You are much better off than like a lot of those people in there. I know
neu," I know.  It makes it harder.  I mean it's definitely who you know in a lot of cases, but--"
neu," But you gotta.  Otherwise, what is--what's your other option?"
sad, I feel so worthless.
neu," It's not worthless 'cause it's definitely gonna--it's definitely gonna pay off.  I know it.  I mean, I can--I've just--I've seen your work etiquette.  You know, you're a good worker and..."
neu, ... and there's no reason that--that something won't come up like really soon.  All right?  So you just gotta--
neu," Because I know you.  You know, and maybe once you get to know some more people, like talking to them and everything, they'll get to know you too and they'll realize they should've hired you three years ago.  You know? but  And- and they'll finally come around and believe me--it'll--you gotta-"
neu," Well maybe yeah, but maybe you get to that point where it's like you bug 'em and then they just don't wanna hear from you anymore, but you keep bugging them and bugging them and then it's gonna annoy them so much that they're gonna be like all right fine. you know"
neu," That obviously that's not true though.  I mean, you've done this before.  You've done all the work like this before, you know, and and you've gotten people saying oh, you're so good and like you know--"
neu, Right.
neu," Well, you've gotta live."
neu," I mean, it's just, it's really--I don't know, yeah, it's about their opinions and it's about, I don't know, just getting yourself out there and--"
sad," I just wanna crawl in a hole, you know.  Like it just makes you not wanna even open your eyes in the morning."
neu," Well, come on, come on.  Thinking about it like this is definitely not gonna help either though."
neu," Hi, um, excuse me, I believe that the airline lost my baggage."
neu," Um, okay, it didn't--didn't come out on the carrousel--"
neu," No, it didn't. um It didn't come out and I don't see it anywhere around here, so what can you do about that?"
neu," Okay.  Um, well, unfortunately yeah there was a some- some problems with the--"
neu," Uh, well some-some of the bags were--were lost on the way over here. uh-"
neu," You know, I mean, there's a lot of things that go on under the plane and sometimes, you know, that kind of things happen."
neu," Uh, But, we are willing to reimburse you for the bag and and for the contents--"
neu, How much?
neu," Um, we'd be willing to give you uh fifty dollars for--"
neu," Right.  Uh We realize, you know, that that it's a bad situation, but I'm sorry, there's nothing that we can really do."
ang," That's all, that's all, that's all you're going to do is just give me fifty dollars and say go have fun on your vacation without any of your stuff?"
neu," I think, um, maybe you can file a claim if you want and turn it in to our main office--"
neu," Right.  No.  I mean they- they might--they might--if you-if you are argue the case more, maybe they'll reimburse you more, but, right now--"
neu," Yes, I know. I know-. It's It's frustrating.  Unfortunately though-- um"
ang," Because you don't seem to care very much, you know."
neu," By checking your bags, you--you, you know- admit to the liability that's- that's at risk--"
neu," Right, well, by checking in your bags, you agreed to, you know, at the will of the--"
neu," You paid for the flight and then your bags were checked at--it's a service that the airline provides for us.  So so, really, it's really the risk was taken and, I'm sorry, but there's really nothing else we can do.  So do you want--do you want the reimbursement?"
neu," Well, there are-there are some shops here in- in the airport--"
neu," No, um, like I said you can file a claim and, uh, maybe get reimbursed for more-- you"
neu, probably even talk to--
neu," Right, that--that gets taken care of-- That gets taken care of.  We get we do, you know, we investigate those and just make sure that um- they're not doing their own thing with them so--uh"
neu, but Unfortunately sometimes is--
neu," Well, that's--that's what I'm saying--"
neu," Okay.  Well that that could be something that you put on on the claim--on on the complaint form if you want.  And provide us with your information while you're here and then, maybe, if it turns up, then we'll send it right over."
ang, It sounds like it's such a little like oh well no big deal whatever.  It's a big deal to me.
neu," All right, Miss, I-I know.  I realize this. But Like I said, there are several people that are in your same situation, so, um, it's not--it's not totally uncommon and I'm actually gonna have to ask you to move so I can help the next person."
neu," Yes, all right.  There you go, now you can file a claim over to the left--And they'll help you out."
neu," Hey, a what's up?"
sad," Um, Johnny died yesterday."
neu," Wow, that's horrible."
neu, I'm sorry to hear about that.
sad," We knew that it was coming, but--"
neu, Yeah.
sad," It seemed like he had a little bit longer.  Like just last week, he was doing was so well."
neu," I mean, you know, at least he's not in anymore pain now, right?"
sad, Yeah.
neu," It's good, you know.  you know It hurts I know.  I know what it's like to lose someone like that."
sad, I just don't want him to be gone.
neu, It's okay.
neu," 'Cause, you know, you've got all the times that you guys did spend together, you know and that's something good that you can look back on."
neu, I mean--I don't know.
sad, And his whole family was there.
