EMOTION,TRANSCRIPTION
ang, I did exactly what they told me to do.
ang, I've got a life too ma'am
ang, There's nothing I can do for you.  Do you understand that?  Nothing.
ang, I've been to the back of the line five times.
ang, You're going to have to go back again.
ang, Okay.  What is it that I did wrong on the form that I have to start all over again?
ang," Okay.  Well, I can do that right here right now without going to the back of the line again.  See look initialed.  All done. Ready to go."
ang, Ma'am I have other people waiting in line right now.  I have other people waiting in line right now.
ang, I'm not starting over again.  No I have done this five times.  I am not starting over again.
ang, I mean look she's -she's perfectly nice.  She doesn't mind waiting for a couple of minutes because I've been here all day. I have a job to get back to.  I have kids to pick up from school.  I can't just stay here.
ang, like I said before right now.
ang, This is your job is to help people like me who need to get a new license.
ang, You're testing my goddamn patience.
ang, I'm testing your patience?
ang," I work in this fucking building all day. And I'm sick of it, okay?"
ang, I don't need to be.  I need to go and do other things with my time.  Okay.
ang," Please just put the form in, take the picture, let me get my license and get the hell out of here.  Please."
sad, So you're leaving tomorrow.
sad, Yeah.  They just called.
sad, This is really-this is unfair.
sad, I know.
sad, I don't know what to say.  I don't want to go but I don't have a lot of choice.
sad," And, uh, I'm afraid that if you, you know, when you leave, you won't come back."
sad, I'm going to come back.  I need you to believe that.
sad, Well you have to have faith because I don't have a choice and I have to go.
sad, Do you think I want to leave you?
sad, I have to do this.  I don't want to leave.  Do you think I want to miss seeing her grow up?
sad, And now- and now it's really shitty timing but now I have to go.
sad, What's that supposed to mean?
sad, I mean we can't-we're not a complete family without you here.
ang, Well I'll come back.  What is that supposed to mean?  You're not willing to wait for me to come back?
ang, That's all I'm saying... No you don't.
ang, Thanks that helps.
ang, I feel much better now.
ang," You're acting like, you know, you're the one who's going all through, you know, all this shit and it's really- it's really not."
ang, Yeah.  Of course I do because I didn't enlist in this stupid thing.  Why don't you just get out now and then-
ang, That's how you want to leave it?
sad," I don't know how else to leave it.  What, do you want me to lie to you?"
sad, You want me tell you that I'm okay with it?
sad, I want you to be okay with it as much as you can be.  I mean it's not a great situation but we don't have an option here.
sad, Well I can't be okay with it the same way you can't not go.  It just doesn't work that way.
sad, Fine.
hap, I have something to tell you.
neu, What?  You seem so excited.
hap, It's really exciting.  Don't you want to guess?
neu," Uh, you got a new car, a new house. Uh, a dog."
hap, Look.
hap, Yes.  He finally proposed.  I'm getting married.
hap, Holy shit that's amazing.
hap, I know. I'm so-
hap, Congratulations.
hap, Thank you. [LAUGHTER]
hap," I'm invited, right."
hap, You think. [LAUGHTER]
hap," Well actually we were just talking about today and I don't really want to do like the traditional church thing, you know.  So we are going to get married in the meadow."
hap, We're going to get married in the middle of a meadow. [LAUGHTER]
hap," Everybody's going to come up. We're going to stay in all the pretty cabins up there and, um, everybody's going to have, you know, really flowery sort of naturey stuff."
hap, So pretty.
hap, Very Midsummer Night's wedding.
